user_id,start_time_iso,end_time_iso,model,api_key_name,api_key,type,price,amount
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T00:00:00+03:00,2026-08-21T01:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,input_cache_hit_tokens,0.000000022,27648
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T00:00:00+03:00,2026-08-21T01:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,input_cache_miss_tokens,0.00000066,10791
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T00:00:00+03:00,2026-08-21T01:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,request_count,,9
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T00:00:00+03:00,2026-08-21T01:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,output_tokens,0.00000198,19687
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T00:00:00+03:00,2026-08-21T01:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,input_cache_hit_tokens,0.000000007,69632
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T00:00:00+03:00,2026-08-21T01:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,input_cache_miss_tokens,0.00000022,20721
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T00:00:00+03:00,2026-08-21T01:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,request_count,,5
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T00:00:00+03:00,2026-08-21T01:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,output_tokens,0.00000066,36554
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T03:00:00+03:00,2026-08-21T04:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,input_cache_hit_tokens,0.000000022,12160
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T03:00:00+03:00,2026-08-21T04:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,input_cache_miss_tokens,0.00000066,3755
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T03:00:00+03:00,2026-08-21T04:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,request_count,,3
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T03:00:00+03:00,2026-08-21T04:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,output_tokens,0.00000198,1286
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T03:00:00+03:00,2026-08-21T04:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,input_cache_hit_tokens,0.000000007,217216
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T03:00:00+03:00,2026-08-21T04:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,input_cache_miss_tokens,0.00000022,36235
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T03:00:00+03:00,2026-08-21T04:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,request_count,,3
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T03:00:00+03:00,2026-08-21T04:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,output_tokens,0.00000066,27213
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T13:00:00+03:00,2026-08-21T14:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,input_cache_miss_tokens,0.00000066,7830
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T13:00:00+03:00,2026-08-21T14:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,request_count,,2
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T13:00:00+03:00,2026-08-21T14:00:00+03:00,deepseek-v4-pro,substackagent,sk-7ae90***********************334c,output_tokens,0.00000198,6788
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T13:00:00+03:00,2026-08-21T14:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,input_cache_miss_tokens,0.00000022,692
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T13:00:00+03:00,2026-08-21T14:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,request_count,,1
Google-06e91b33-38fa-4d97-ac5d-16bd824dd05c,2026-08-21T13:00:00+03:00,2026-08-21T14:00:00+03:00,deepseek-v4-flash,substackagent,sk-7ae90***********************334c,output_tokens,0.00000066,337
